# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Thu May 13 21:36:08 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00015547 -2.00000 9.69897 0.8510482907 2.4353532791    0.850  0.156  3.8273  4.472    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-13      0.00 8.142e-01 1.856e-01 2.306e-05 6.331e-06 5.775e-05 -1.000 1.635e-04 4.379 4.586 4.837 4.494 4.241 3.990 3.701 3.459 3.446
0.00015547 -2.00000 9.69897 0.8641498685 2.4392583370    0.863  0.203  3.8325  4.453    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-13      0.00 8.142e-01 1.857e-01 2.306e-05 6.332e-06 5.776e-05 -1.000 1.580e-04 4.263 4.464 4.704 4.373 4.130 3.887 3.610 3.379 3.367
0.00015547 -2.00000 9.69897 0.8762287498 2.4427399635    0.875  0.247  3.8373  4.434    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-13      0.00 8.140e-01 1.858e-01 2.308e-05 6.335e-06 5.779e-05 -1.000 1.491e-04 4.153 4.350 4.577 4.257 4.023 3.789 3.523 3.303 3.292
0.00015547 -2.00000 9.69897 0.8922405839 2.4471883774    0.891  0.307  3.8438  4.408    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-13      0.00 8.137e-01 1.862e-01 2.311e-05 6.344e-06 5.786e-05 -1.000 1.296e-04 4.001 4.194 4.403 4.099 3.877 3.655 3.404 3.198 3.188
0.00015547 -2.00000 9.69897 0.8999999762 2.4492788315    0.899  0.338  3.8471  4.395    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-13      0.00 8.135e-01 1.864e-01 2.313e-05 6.348e-06 5.791e-05 -1.000 1.369e-04 3.926 4.117 4.317 4.020 3.804 3.588 3.345 3.146 3.137
0.00015547 -2.00000 9.69897 0.9107277989 2.4521014690    0.910  0.380  3.8523  4.378    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-13      0.00 8.135e-01 1.863e-01 2.312e-05 6.346e-06 5.789e-05 -1.000 1.617e-04 3.820 4.007 4.193 3.908 3.702 3.495 3.264 3.077 3.068
0.00015547 -2.00000 9.69897 0.9214650393 2.4548511505    0.920  0.424  3.8577  4.360    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-13      0.00 8.135e-01 1.863e-01 2.312e-05 6.346e-06 5.788e-05 -1.000 1.545e-04 3.709 3.894 4.063 3.791 3.595 3.399 3.181 3.005 2.997
0.00015547 -2.00000 9.69897 0.9309922457 2.4572298527    0.930  0.465  3.8629  4.345    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.55e-13      0.00 8.135e-01 1.864e-01 2.312e-05 6.346e-06 5.788e-05 -1.000 1.280e-04 3.607 3.791 3.944 3.683 3.497 3.311 3.104 2.940 2.932
0.00015547 -2.00000 9.69897 0.9405132532 2.4595518112    0.939  0.508  3.8683  4.328    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.85e-13      0.00 8.135e-01 1.865e-01 2.312e-05 6.348e-06 5.789e-05 -1.000 9.212e-05 3.500 3.684 3.819 3.570 3.396 3.219 3.025 2.873 2.865
0.00015547 -2.00000 9.69897 0.9500000477 2.4618122578    0.949  0.552  3.8739  4.311    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-13      0.00 8.133e-01 1.866e-01 2.313e-05 6.350e-06 5.792e-05 -1.000 8.437e-05 3.390 3.573 3.691 3.454 3.291 3.126 2.944 2.804 2.796
0.00015547 -2.00000 9.69897 0.9579876065 2.4636757374    0.957  0.590  3.8790  4.297    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -3.53e-13      0.00 8.136e-01 1.863e-01 2.311e-05 6.345e-06 5.787e-05 -1.000 8.602e-05 3.296 3.478 3.580 3.354 3.201 3.046 2.877 2.747 2.740
0.00015547 -2.00000 9.69897 0.9690437317 2.4661967754    0.968  0.645  3.8860  4.275    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -4.08e-13      0.00 8.139e-01 1.860e-01 2.309e-05 6.339e-06 5.782e-05 -1.000 1.211e-04 3.159 3.341 3.420 3.210 3.071 2.930 2.776 2.661 2.654
